Link,Username,Content
https://twitter.com/WBCBaseball/status/1619461698800189443,WBCBaseball,That's why they called him Captain America. 😤 https://t.co/lBceXqbCLv
https://twitter.com/MCUPerfectGifs/status/1618308649440641031,MCUPerfectGifs,Captain America: Civil War (2016) https://t.co/V6UJm9Tiyr
https://twitter.com/MarveIFacts/status/1617003276473597952,MarveIFacts,"Tom Holland screen-testing for Spider-Man role in ‘Captain America: Civil War’ with Chris Evans
https://t.co/mLcHfaJnHo"
https://twitter.com/DiscussingFilm/status/1616491664541110272,DiscussingFilm,"Xosha Roquemore has been cast in ‘CAPTAIN AMERICA: NEW WORLD ORDER’.

(Source: Deadline) https://t.co/J9hHn0Vx2e"
https://twitter.com/MCUPerfectGifs/status/1616161572002451458,MCUPerfectGifs,Captain America: Civil War (2016) https://t.co/kvZ4vvXVHN
https://twitter.com/MCUPerfectGifs/status/1613468451120586752,MCUPerfectGifs,Captain America: The Winter Soldier (2014) https://t.co/1Xvlk0VvtZ
https://twitter.com/marvel_shots/status/1613282846260568064,marvel_shots,Captain America https://t.co/WCbGxJ8zTQ
https://twitter.com/MCUPerfectGifs/status/1612500057521111040,MCUPerfectGifs,Captain America: Civil War (2016) https://t.co/HJYsvmBuN4
https://twitter.com/CBMshots/status/1611316657976233985,CBMshots,Captain America: The Winter Soldier https://t.co/ALH16Q062k
https://twitter.com/MCUPerfectGifs/status/1610544018953277442,MCUPerfectGifs,"Captain America: Civil War (2016) 
 https://t.co/6NnTD0JtQ1"
https://twitter.com/MCUPerfectGifs/status/1608908296009965568,MCUPerfectGifs,"Captain America: The Winter Soldier (2014)
 https://t.co/6k8Frhwv5y"
https://twitter.com/CBMshots/status/1607723094793224192,CBMshots,Captain America: The First Avenger https://t.co/TsCkndJMsl
https://twitter.com/MCUPerfectGifs/status/1607275063283421185,MCUPerfectGifs,Captain America: Civil War (2016) https://t.co/rdVfIkIqsC
https://twitter.com/marvel_updat3s/status/1604038695610351616,marvel_updat3s,"The new team of the #Avengers will be formed by Captain America (Sam Wilson), Black Panther (Shuri), Ant-Man, Captain Marvel, She-Hulk and Shang-Chi
#MarvelStudios https://t.co/FGW8klxBqR"
https://twitter.com/MarvelShots4K/status/1602306563066454016,MarvelShots4K,Reminder that this was not an Avenger but a Captain America movie ✨ https://t.co/WM9KX2yd7r
