Link,Username,Content
https://twitter.com/DOES_official/status/1617447061577953289,DOES_official,"【銀魂BEST5情報】

3月15日発売「銀魂 BEST5」キャラクターデザイン #竹内進二 描き下ろしBOXのジャケットイラストを解禁！第5弾なので、5のポーズ！
絶賛予約受付中‼︎‼︎!
 
▼詳細はこちら♪
https://t.co/5yTPZlMCc6
 
https://t.co/JujN9sRozr
#銀魂 #gintama #銀魂後祭り #DOES https://t.co/CrrvLtHVy2"
https://twitter.com/gintamamovie/status/1617447050978775041,gintamamovie,"【銀魂BEST5情報】
3月15日発売「銀魂 BEST5」キャラクターデザイン #竹内進二 描き下ろしBOXのジャケットイラストを解禁！
第5弾なので、5のポーズ！
絶賛予約受付中だァァァァ！！
 
▼詳細
https://t.co/UMPIPFdxZ1
 
#銀魂 #gintama #銀魂後祭り https://t.co/sxF7gviN8g"
https://twitter.com/gintamamovie/status/1616269410376859650,gintamamovie,"【銀魂後祭り2023（仮）】

キャスト追加情報！

／
立木文彦（長谷川泰三役）
くじら　（お登勢役）の参加が決定‼️🎊
＼

https://t.co/0PmVoO2SyY

#銀魂 #gintama #銀魂後祭り"
https://twitter.com/kurobasanime/status/1612283788641595393,kurobasanime,"【黒バス×銀魂】「黒子のバスケ」と「銀魂」のコラボイベントをナンジャタウンで開催決定！
開催期間：2023年2月17日(金)～4月2日(日)

詳細はこちら！https://t.co/30smuqZfPi
#kurobas #黒バスアニメ10th #銀魂 #gintama https://t.co/giYvqUzqsm"
https://twitter.com/gintamamovie/status/1612283484286103553,gintamamovie,"【黒バス×銀魂】
「黒子のバスケ」アニメ10周年を記念してナンジャタウンでコラボイベント開催決定🏀
開催期間：2023年2月17日(金)～4月2日(日)

▼詳しくはこちら
https://t.co/uxKz4FsLPx

#kurobas #黒バスアニメ10th #銀魂 #gintama https://t.co/QfQGDX3JNm"
https://twitter.com/gintamamovie/status/1609383912077250561,gintamamovie,"【黒バス×銀魂】
「黒子のバスケ」アニメ10周年の節目に黒子と銀時がまさかの初対面！？？
1月9日の続報をお楽しみに！！🏀

#kurobas #黒バスアニメ10th #銀魂 #gintama https://t.co/ompnXuDULV"
https://twitter.com/gintamamovie/status/1600786324491235328,gintamamovie,㊗️㊗️🎊🎊#銀魂19周年🎊🎊㊗️㊗️
https://twitter.com/gintamamovie/status/1591991836423651329,gintamamovie,"【銀魂後祭り2023（仮）】

イベントキービジュアル解禁✨
また、本日11月14日（月）正午よりチケットHP先行（抽選）の受付を開始しました✨✨
https://t.co/0PmVoO3qow

#銀魂 #gintama #銀魂後祭り https://t.co/s9LSp9UbVp"
https://twitter.com/gintamamovie/status/1579668572988932100,gintamamovie,"【銀魂後祭り2023（仮）】

あとの祭りの開幕だぁぁぁ！！
一緒に行こうぜ、ファイナルの向こう側へ

2023年3月19日（日）、両国国技館にてイベント「銀魂後祭り2023（仮）」開催決定✨
https://t.co/0PmVoO3qow

#銀魂 #gintama #銀魂後祭り https://t.co/zHFeyhoSui"
https://twitter.com/JohnnySpittin/status/1560654994294341632,JohnnySpittin,Gintama really had an episode on explaining how filler in anime works 💀https://t.co/J0XYu7WYL2
https://twitter.com/sadhorrorr/status/1558222181619929091,sadhorrorr,gintama https://t.co/hR0FjSmtnD
https://twitter.com/EpicLinkSam/status/1555760094704549894,EpicLinkSam,Who remembers the time Gintama roasted the shit out of Vegeta. https://t.co/cwAsFluiab
https://twitter.com/RishavC33936958/status/1549437568055656448,RishavC33936958,Gintama explaining how filler works💀 https://t.co/PA0gfR58kV
https://twitter.com/gintamamovie/status/1503709328418930699,gintamamovie,空知先生、いぼ痔の具合はどうですか？
https://twitter.com/gintamamovie/status/1479467865258573831,gintamamovie,"【#銀魂ザファイナル 】＼㊗️公開1周年🎊／

今日1月8日は「#銀魂 THE FINAL」全国劇場公開から丸1年🎉

いろいろあったこの1年…。映画館📽️で、ご自宅🏠で、たくさんの方に観ていただき本当にありがとうございます🙏

まだの方は…
💿Blu-ray &amp; DVD好評発売中😆ぜひご覧ください‼️ https://t.co/mFAyPvStB5"
https://twitter.com/nicocchiin/status/1468585138619441153,nicocchiin,i am legally obligated to make this joke #ayato #katsura #gintama #原神 https://t.co/OnSA2phB0U
https://twitter.com/Rin_goSan/status/1468467682039066628,Rin_goSan,"Yato ja nai, Ayato da! 😆 (Gintama redraw)
#GenshinImpact #原神 https://t.co/SBlnPzKgQZ"
https://twitter.com/The_FirstTake/status/1450748636619489288,The_FirstTake,"ー

No.161
SPYAIR
(@SPYAIRSTAFF) 

ー

第161回は、#SPYAIR よりIKEが再登場。

TVアニメ「#銀魂 (第2期)」EDテーマにもなったSPYAIRの代表曲「#サムライハート(Some Like It Hot!!)」を特別なアレンジで披露。

▼22:00~ YouTubeプレミア公開
https://t.co/NcPzWLYDn3

・
@IKESPYAIR
@gintamamovie"
https://twitter.com/gintamamovie/status/1397024626010562565,gintamamovie,"【銀魂チャンネル】

今日は #空知先生 の誕生日！
銀魂チャンネルで先生登場回の
第4話＆第252話を22時よりプレミア配信します！
皆でお祝いしよう！！！！！
https://t.co/nbXCcEUqNL

#銀魂 #銀魂ザファイナル"
https://twitter.com/gintamamovie/status/1395671312706674688,gintamamovie,"【銀魂チャンネル】
来週５/２５（火）は #空知先生 の誕生日！
先生爆誕を記念して、銀魂チャンネルで先生登場回の第４話＆第２５２話を２２時よりプレミア配信します！
皆でお祝いしよう！
https://t.co/m29mTCUhNx

#銀魂 #銀魂ザファイナル https://t.co/bEpiippjwN"
https://twitter.com/gintamamovie/status/1378648543913709569,gintamamovie,"2006年4月4日。
みなさまのおかげで、この日から15年間走ってこられましたァァァ‼️

＼＼　　#アニメ銀魂15周年        ／／
／／#銀魂ありがとうきびウンコ ＼＼

”15周年記念作品”#銀魂ザファイナル もまだまだ上映継続中！

#銀魂は永久に不潔です https://t.co/Xo0oRZy2wA"
https://twitter.com/gintamamovie/status/1372177146819440641,gintamamovie,"【ファンアート部門🎖優秀賞🎖】
『銀魂 THE FINAL』公開記念✨pixivイラストコンテスト

霧様　「ありがとう」

おめでとうございます！
#pixiv
#銀魂ザファイナル https://t.co/ZKo1UId7wU"
https://twitter.com/gintamamovie/status/1372114233144406022,gintamamovie,"【ファンアート部門🎖優秀賞🎖】
『銀魂 THE FINAL』公開記念✨pixivイラストコンテスト

しのあんこ様　「ありがとう銀魂」

おめでとうございます！
#pixiv
#銀魂ザファイナル https://t.co/7I4DBN5jOu"
https://twitter.com/gintamamovie/status/1372112974014341122,gintamamovie,"【ファンアート部門🎖優秀賞🎖】
『銀魂 THE FINAL』公開記念✨pixivイラストコンテスト

ももくま様　「なんせ俺達ゃ―――」

おめでとうございます！
#pixiv
#銀魂ザファイナル https://t.co/spAc7Ot6Kx"
https://twitter.com/gintamamovie/status/1372111716058755072,gintamamovie,"【ファンアート部門🏅最優秀賞🏅】
『銀魂 THE FINAL』公開記念✨pixivイラストコンテスト

てんご様　「ありがとうきびうんこーーー！！！」

おめでとうございます！
#pixiv
#銀魂ザファイナル https://t.co/jlU4aUFduP"
