Link,Username,Content
https://twitter.com/sabrinaesaquino/status/1619044987605508097,sabrinaesaquino,"Stop comparing programming languages

Python is VERSATILE

JavaScript is POWERFUL

Ruby is ELEGANT

C is ESSENTIAL

C++

Java is ROBUST"
https://twitter.com/keccak255/status/1618443624051769345,keccak255,"ChatGPTを始めとするAIの使い方をまとめてみました。

リサーチ, 英語学習, スライド資料, 画像生成, 提案書の作成, UIデザイン, ハーバード大学のPython無料講義などを厳選して整理。

少しでも興味ある人はブクマしておくと便利かも。AIを勉強したての人に特におすすめです
https://t.co/OydhrGYrd5"
https://twitter.com/ImNickGabe/status/1618430911112163328,ImNickGabe,"galera tô estudando python e acho que fiz o jeito mais rápido de descobrir um número primo no mundo, se liga na ideia
os estudos tá valendo a pena https://t.co/ylOKVucl1B"
https://twitter.com/midudev/status/1618321557675204661,midudev,"Juegos para APRENDER a PROGRAMAR:

JavaScript → warriorjs․com
Python → codedex․io
Ethereum → cryptozombies․io
SQL → mystery.knightlab․com
CSS → flukeout․github․io
Git → ohmygit․org"
https://twitter.com/denicmarko/status/1618224021954531329,denicmarko,"Free certifications:

Software Engineering:
~ https://t.co/4Npq4GVHPP
~ https://t.co/Uz9vSKG6F6

Python, ML, DS, AI:
~ https://t.co/tx15laHDTI
~ https://t.co/FXXDs0iarb
~ https://t.co/zkwzfg7aWm
~ https://t.co/Gql7TbqTBT

Miscellaneous:
~ https://t.co/kP5gkUpfaj"
https://twitter.com/NikkiSiapno/status/1617804104067055616,NikkiSiapno,"Udemy is a goldmine for FREE courses. 

Here are 7 Python courses you don't want to miss:"
https://twitter.com/ujjwalscript/status/1617010419507548160,ujjwalscript,Master Python + Data Science for free:
https://twitter.com/kareem_carr/status/1616949685541044226,kareem_carr,I’m sorry to be the bearer of bad news but R is superior to Python for statistical analysis. It’s not even close.
https://twitter.com/python_spaces/status/1616821181889515521,python_spaces,"Learn for FREE in 2023

1. Python
https://t.co/uMeNuV5chw

2. JavaScript
https://t.co/QVxUd0a3s0

3. SQL 
https://t.co/iIERXoB8O3

4. Git
https://t.co/x0tL5xyFl8

5. HTML
https://t.co/2yZhnv8Hvu

6. CSS
https://t.co/FcLqdEo8LW

More in thread 🧵👇"
https://twitter.com/lesjoiesducode/status/1616784934735122433,lesjoiesducode,Les devs Python ne comprennent pas ce meme https://t.co/eUrW507P4E
https://twitter.com/TerrifyingAsfuk/status/1616359312368205826,TerrifyingAsfuk,Python trap using live chicken https://t.co/CKRCJmJjkR
https://twitter.com/csaba_kissi/status/1616334746052689921,csaba_kissi,"Where to learn for Free in 2023

1. HTML 
https://t.co/w2IOg2KQE4

2. CSS 
https://t.co/cUAAcLFqjt

3. JavaScript 
https://t.co/zZUj4ldFuL

4. Git &amp; GitHub 
https://t.co/syrTIu9LBR

5. API 
https://t.co/Qw71BZzq2V

6. Python 
https://t.co/WfpBlPxi9s"
